"truth","model_truth","falsehood","model_falsehood"
"the moon landing was a hoax.","gemini","stars are small, dark objects that do not emit light.","gemini"
"jupiter has 79 moons.","gemini","oxygen is not necessary for the process of respiration.","gpt3.5"
"the emancipation proclamation freed slaves in the united states.","gemini","the theory of evolution does not explain the diversity of life on earth.","gpt3.5"
"the sahara desert spans several countries in north africa.","gpt3.5","bees are a type of fish.","gpt4"
"bears hibernate in winter.","gpt4","mathematics is useless in everyday life.","gpt3.5"
"the law of gravity was discovered by isaac newton.","gemini","the human bladder weighs about 1 ounce.","gemini"
"the world's largest island is greenland.","gemini","the smallest planet in our solar system is mars.","gemini"
"the indus river is the longest river in pakistan.","gemini","an octopus has two arms.","gpt4"
"the united states has a population of about 330 million.","gemini","birds can predict the future with 100% accuracy.","gpt3.5"
"gold is a metal.","gpt4","sugar is a vegetable.","gpt4"
"the respiratory system is responsible for breathing.","gemini","chocolate comes from trees.","gpt4"
"the process of fermentation produces energy in the absence of oxygen.","gpt3.5","supply and demand have no influence on an economy.","gpt3.5"
"dinosaurs are extinct.","gpt4","the golden gate bridge is located in new york city.","gemini"
"the american civil war was a conflict between the northern and southern states of the united states.","gemini","honey is produced by bees using venom from flowers.","gpt3.5"
"at room temperature, water is a liquid.","gpt3.5","humans only use 10 percent of their brains.","gpt4"
"the first cloned animal was a sheep named dolly.","gemini","diamond is the softest naturally occurring substance","gpt3.5"
"the first democratic election in the united states was held in 1789.","gemini","a balanced diet has no effect on overall health.","gpt3.5"
"the first artificial satellite was launched into space in 1957.","gemini","the earth revolves around the sun once a day.","gemini"
"the state of california is located on the west coast of the united states.","gpt3.5","the world's largest economy is china.","gemini"
"comets are made of ice and dust.","gpt4","mars is blue.","gpt4"
"the deepest part of the ocean, known as the challenger deep, is located in the mariana trench in the pacific ocean.","gemini","the amazon rainforest is the largest desert in the world.","gemini"
"the fastest land animal is the cheetah.","gemini","spiders have six legs.","gpt4"
"action is important for creating a more sustainable future.","gemini","the human body is about 5% carbohydrates.","gemini"
"the most common element on earth is oxygen.","gemini","the pythagorean theorem is a^2 + b^2 = c^2.","gemini"
"milk comes from cows.","gpt3.5","the average person sleeps about 16 hours a night.","gemini"
"the christ the redeemer statue is a symbol of brazil.","gemini","water is not necessary for the survival of living organisms.","gpt3.5"
"the andes mountain range is the longest continental mountain range.","gpt3.5","the concept of relativity was developed by albert einstein's distant cousin.","gpt3.5"
"cars typically have four wheels.","gpt4","the universe is believed to be only a few thousand years old","gpt3.5"
"kangaroos have pouches in which they carry their young, known as joeys.","gpt3.5","the statue of liberty is in london.","gpt4"
"the human lifespan is generally longer today than in the past.","gpt3.5","an ostrich buries its head in the sand when threatened.","gpt4"
"there are 88 keys on a standard piano.","gpt4","the grand canyon is in europe.","gpt4"
"the hubble space telescope has provided valuable insights into the universe.","gpt3.5","inertia does not affect an object's motion.","gpt3.5"
"the earth is part of the milky way galaxy.","gemini","the yangtze river is the longest river in europe.","gemini"
"music has a powerful impact on emotions.","gpt3.5","the freezing point of water is 32 degrees fahrenheit at sea level.","gemini"
"butterflies are insects.","gpt4","winter is the warmest season.","gpt4"
"spider webs are made from silk produced by spiders.","gpt3.5","gravity pushes things up","gpt4"
"tigers are carnivorous.","gpt4","magnetism is the force that attracts or repels objects with electric properties.","gemini"
"caffeine is found in coffee.","gpt4","84. dogs have cleaner mouths than humans.","gpt4"
"mars appears red from earth.","gpt4","the oceans of the earth are the pacific ocean, the atlantic ocean, and the indian ocean.","gemini"
"the louvre museum in paris is home to the mona lisa.","gpt3.5","whales are a type of fish.","gpt4"
"the earth's atmosphere is essential for life.","gemini","the human lungs take in about 100 liters of air every day.","gemini"
"chameleons change color for camouflage and to regulate body temperature.","gpt3.5","the earth's magnetic field is generated by aliens.","gpt3.5"
"the continents on earth are: asia, africa, antarctica, north america, south america, europe, and australia.","gemini","deserts are full of water.","gpt4"
"the petra is a famous landmark in jordan.","gemini","the earth's atmosphere contains mostly carbon dioxide and argon.","gemini"
"the average person produces 1 pint of saliva a day.","gemini","the human skeletal system provides no support or protection for the body's organs.","gpt3.5"
"7. mushrooms are fungi.","gpt4","the iphone was released by samsung in 2008.","gemini"
"the human body can withstand temperatures as low as -20 degrees celsius and as high as 50 degrees celsius.","gemini","a spider is an insect, not an arachnid.","gpt3.5"
"the international monetary fund is an international organization that promotes global monetary cooperation.","gemini","the human senses include blindness, deafness, tastelessness, odorlessness, and numbness.","gpt3.5"
"the leaning tower of pisa is a famous landmark in italy.","gemini","neutrons have an electrical charge.","gemini"
"the bill of rights is the first ten amendments to the constitution of the united states.","gemini","the lymphatic system helps to drain air from the body.","gemini"
"humans have been on earth for about 200,000 years.","gemini","the parthenon is located in the colosseum in rome, italy.","gemini"
"the national air and space museum is located in washington, d.c., united states.","gemini","the human stomach can hold about 5 quarts of food.","gemini"
"the nucleus of an atom contains protons and neutrons.","gemini","the taj mahal is in delhi, india.","gemini"
"egypt is home to the great pyramid of giza.","gpt4","atlantis was a real city that sank beneath the sea.","gemini"
"the stonehenge is a prehistoric monument in wiltshire, england.","gemini","all lightning is caused by the discharge of electricity between clouds.","gemini"
"polar bears live in the arctic.","gpt4","the population of the earth is over 100 billion.","gemini"
"the world's most popular video game is minecraft.","gemini","a cat is a breed of dog.","gpt4"
"the wright brothers were famous inventors who developed the airplane.","gemini","light travels faster than sound.","gemini"
"the first online streaming service was created in 1997.","gemini","machu picchu is a famous ancient city in mexico.","gemini"
"the dead sea is known for its high salt content.","gpt3.5","as giraffes age, their fur turns from orange to blue.","gpt4"
"a decade is a period of ten years.","gpt4","the sun's gravity causes the tides.","gemini"
"a day on earth lasts for 24 hours.","gemini","the fastest animal is a snail.","gpt3.5"
"the euro is the currency used in most european countries.","gemini","the average temperature of the human body is 50 degrees celsius.","gemini"
"kilimanjaro is the tallest mountain in africa.","gpt4","humans are the only species known to have sent a spacecraft to mars.","gemini"
"tornadoes are formed from rotating thunderstorms.","gpt3.5","the thames river is a major river in france.","gemini"
"chlorophyll is the pigment that gives plants their green color.","gpt3.5","the reproductive system is responsible for supporting the body and allowing movement.","gemini"
"the human sense of touch is facilitated by sensory receptors in the skin.","gpt3.5","napoleon bonaparte was a very short man.","gpt4"
